model,RMSE,MAE,R2,n_samples
GPR_Matern15,1.5315837709933628,1.0537236479179626,0.6581169985008153,9
GPR_Matern25,1.6237294934093556,1.160755639060756,0.6157416133193578,9
GPR_RationalQuadratic,1.829295164124037,1.6395658970636815,0.5122878566436383,9
GPR_Matern05,2.1445963097014,1.655594916726854,0.3296723941243126,9
GPR_RBF,2.1503451212619837,1.5434430627908933,0.32607381285158477,9
