term,power_Collagen_mg_mL,power_UV_min,coefficient_raw_units
Intercept,0,0,-0.4527330309424801
UV_min,0,1,0.05276419934716228
Collagen_mg_mL,1,0,0.19071645952822244
UV_min^2,0,2,0.00015648294181931668
Collagen_mg_mL * UV_min,1,1,0.0006165432408745365
Collagen_mg_mL^2,2,0,-0.0038360694245829618
