family,model,RMSE,MAE,R2,n_samples
Polynomial,Poly2_Linear,0.9973251801928354,0.7005214209075137,0.8550328620815009,9
GPR,GPR_Matern15,1.5315837709933628,1.0537236479179626,0.6581169985008153,9
