family,model,RMSE,MAE,R2,n_samples
Polynomial,Poly2_Linear,0.5640534928856192,0.4154878702081854,0.9538435616199656,14
GPR,GPR_Matern15,0.7752617349276756,0.6461482542676442,0.9128056386293175,14
