family,model,RMSE,MAE,R2,n_samples
Polynomial,Poly1_Linear,4.060092437827988,2.4605155981247924,0.21116948929822266,42
GPR,GPR_Matern05,4.135766356726726,2.0855461390109746,0.18149026473997332,42
