model,RMSE,MAE,R2,n_samples
GPR_Matern05,4.135766356726726,2.0855461390109746,0.18149026473997332,42
GPR_RationalQuadratic,4.211178298772847,2.2704130645427547,0.15136856214785,42
GPR_Matern15,4.226433428200622,2.2982605929351436,0.14520903618122927,42
GPR_RBF,4.371150112971725,2.4945830390871997,0.0856693053958304,42
GPR_Matern25,4.39887469392956,2.5419236250524246,0.07403400313797504,42
