model,RMSE,MAE,R2,n_samples
GPR_Matern15,0.7752617349276756,0.6461482542676442,0.9128056386293175,14
GPR_RationalQuadratic,0.8382577452405128,0.6327936551197065,0.8980594779397936,14
GPR_Matern05,0.9052127777887653,0.6798210777138617,0.8811243088093531,14
GPR_Matern25,0.9397897102621755,0.748129112759924,0.8718693365448356,14
GPR_RBF,1.305828526565367,0.9152753488306085,0.7526203292219755,14
